category,type of issue,funds lost,rugged_date,symbol,name,id,price_float,market_cap_float,volume,wasrekt,contract_chain,contract_address
Token,Rugpull,"$88,736",2022-08-08,ai,ai day: part 2,sleepless-ai,0.9546115,,89969011.0,1,binance-smart-chain,0xbda011d7f8ec00f66c1923b049b94c67d148d8b2
Token,Rugpull,"$88,736",2022-08-08,ai,ai day: part 2,sleepless-ai,1.435,,,1,binance-smart-chain,0xbda011d7f8ec00f66c1923b049b94c67d148d8b2
Token,Rugpull,"$93,531",2023-03-18,sloth,sloth climb,slothana,0.00577595,,3684082.0,1,solana,HQ7DaoiUxzC2K1Dr7KXRHccNtXvEYgNvoUextXe8dmBh
Token,Rugpull,"$93,531",2023-03-18,sloth,sloth climb,slothana,0.00609791,,,1,solana,HQ7DaoiUxzC2K1Dr7KXRHccNtXvEYgNvoUextXe8dmBh
Token,Rugpull,,2021-09-16,slurp,mikumilk financ...,slurp-2,1.595e-05,,198.48,1,solana,EPpeesRbnZSpe6nJaWSQNyhqrwyjGJPh4GPrzBvkpump
Token,Rugpull,,2021-09-16,slurp,mikumilk financ...,slurp-2,1.496e-05,,,1,solana,EPpeesRbnZSpe6nJaWSQNyhqrwyjGJPh4GPrzBvkpump
Token,Honeypot,,2021-04-27,smart,smartfinance,smarthub,0.01353946,,1013.67,1,ethereum,0x8b68f1d0246320d5caf8cd9828faab28d66ba749
Token,Honeypot,,2021-04-27,smart,smartfinance,smarthub,0.01176005,,,1,ethereum,0x8b68f1d0246320d5caf8cd9828faab28d66ba749
Token,Honeypot,,2021-04-25,smty,smoothy.finance,smoothy,0.300942,,913844.0,1,"ethereum, binance-smart-chain","0xbf776e4fca664d791c4ee3a71e2722990e003283, 0xbf776e4fca664d791c4ee3a71e2722990e003283"
Token,Honeypot,,2021-04-25,smty,smoothy.finance,smoothy,0.2871075,,,1,"ethereum, binance-smart-chain","0xbf776e4fca664d791c4ee3a71e2722990e003283, 0xbf776e4fca664d791c4ee3a71e2722990e003283"
Token,Rugpull,"$117,292",2023-08-16,snake,snake eyes rugp...,snake-3,603.35,,39327.0,1,binance-smart-chain,0xf7d6243b937136d432adbc643f311b5a9436b0b0
Token,Rugpull,"$117,292",2023-08-16,snake,snake eyes rugp...,snake-3,777.775,,,1,binance-smart-chain,0xf7d6243b937136d432adbc643f311b5a9436b0b0
Token,Honeypot,,2021-05-18,snk,snake token,snook,1.2,,291043.0,1,polygon-pos,0x689f8e5913c158ffb5ac5aeb83b3c875f5d20309
